early_blue,,early_green,,early_orange,,early_red,,late_blue,,late_green,,late_red,,late_orange,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-0.0007469258106107550,0.017634440360417600,0,0.0685978605248394,0,0.018106976934376500,0,0.018106976934376500,15.11463345598640,0.11986047004622700,15.11463345598640,0.17035135363669000,15.11463345598640,0.018878702865301000,15.11463345598640,0.11986047004622700
0.2498663395917870,0.16541790507374500,0.2547410133031420,1.3830757803899900,0.2547410133031420,0.2722763413998170,0.2547410133031420,1.4840575475709300,15.36088310217950,0.4749544368088150,15.36088310217950,1.3332994578466800,15.36088310217950,2.444098896836860,15.352391735069300,0.8788243406487480
0.4955656193980570,0.430045333605392,0.5009906594961790,4.767622762580350,0.49249929238607400,0.7282949104595530,0.49249929238607400,3.404311740754090,15.624115482592700,1.0826171512912700,15.61562411548260,3.657595049521090,15.61562411548260,4.667412721330350,15.624115482592700,1.8904712887386700
0.7461788848004540,1.5128451611050800,0.7472403056892160,8.101678861180250,0.7472403056892160,1.5378639944200800,0.7472403056892160,4.870262311390630,15.870365128785700,1.185256700101530,15.861873761675600,5.173979338864330,15.870365128785700,5.931399757605040,15.870365128785700,2.901946742177270
1.0066201213951000,2.5080533676534400,1.0019813189923600,10.324992685673700,1.0019813189923600,2.448414845561540,1.0019813189923600,6.740139950750870,16.108123407868700,1.4898026183898900,16.108123407868700,7.09429069693126,16.108123407868700,7.043799813340800,16.108123407868700,3.4589470784179400
1.2523194012013700,2.9479963642075300,1.2482309651853900,12.497758461693000,1.2482309651853900,3.3084176482287500,1.2482309651853900,8.559469541636890,16.37135578828190,1.7440291477391100,16.362864421171800,7.903859780891790,16.362864421171800,7.903859780891790,16.362864421171800,4.066552628016620
1.4931046954115200,3.4463448019058200,1.4944806113784300,14.064633634626700,1.4944806113784300,4.218911334486440,1.4944806113784300,9.772908529437350,16.61760543447500,2.099123114501690,16.61760543447500,8.763919748442780,16.61760543447500,8.662937981261860,16.609114067364800,4.674101012731520
1.7535459320061700,3.9448255657239400,1.7577129917916800,15.732604904508800,1.7492216246815700,5.028480418446960,1.7492216246815700,10.632968496988300,16.863855080668000,2.3532353140833500,16.863855080668000,9.724904318290920,16.85536371355790,9.47239273545484,16.863855080668000,5.079743027968340
1.9992452118124400,4.79383822099706,1.995471270874610,16.54205965870180,2.0039626379847200,6.494430989083500,1.995471270874610,11.896898368379300,17.118596093971100,2.4559320277774000,17.118596093971100,10.282018984299100,17.11010472686100,10.332452703005800,17.11010472686100,5.687291412683250
2.244944491618710,5.438316046910670,2.250212284177750,17.452610509843300,2.2417209170676500,6.899958674552790,2.2417209170676500,13.160828239770200,17.373337107274300,2.6091196250619100,17.373337107274300,10.687660999536000,17.364845740164200,11.293494437737700,17.373337107274300,5.891027058441990
2.5004717426172300,6.170517819895420,2.4964619303707900,18.41359507969140,2.4964619303707900,7.558055107741920,2.4964619303707900,14.071379090911600,17.6110953863572,2.661211125397950,17.619586753467300,11.396191151431800,17.619586753467300,11.49717291861270,17.6110953863572,6.24606386032081
2.7461710224235,6.902653429820250,2.751202943673930,19.273655047242400,2.742711576563830,8.317076143228210,2.751202943673930,15.082911709234000,17.865836399660300,2.915380489863390,17.865836399660300,11.953248652556200,17.865836399660300,11.801776001784800,17.865836399660300,6.500233224786240
2.9967842878259000,7.196533201218940,2.9889612227568600,20.133600685025900,2.9974525898669700,8.773209042055510,2.9974525898669700,16.296350697034500,18.12057741296350,3.018077203557430,18.12057741296350,12.61134508574540,18.12057741296350,12.156927133431200,18.12057741296350,7.0068570072040000
3.247397553228290,7.607290017965920,3.2437022360600000,20.89267888539590,3.2437022360600000,9.330266543179940,3.2437022360600000,17.257335266882600,18.358335692046400,3.0196778203030200,18.36682705915650,12.966439052508000,18.358335692046400,12.713927469671900,18.36682705915650,7.765878042690290
3.4980108186306900,7.638196437330950,3.498443249363150,21.44979355140410,3.498443249363150,9.685417674826300,3.5069346164732500,18.167943282907800,18.604585338239500,3.021335601932360,18.604585338239500,13.72540292311050,18.604585338239500,13.069021436434500,18.61307670534960,7.868517591500560
3.748624084033090,7.6983221180330500,3.7446928955561800,22.158323703300000,3.7531842626662900,9.9900779228822,3.7446928955561800,19.1288706878722,18.867817718652700,3.073598596919720,18.867817718652700,14.030120336050100,18.876309085762800,13.373796014257900,18.859326351542600,8.072138907491760
3.9894093782432300,8.225889817068410,3.990942541749220,22.71538120442440,3.990942541749220,10.193642073989600,3.990942541749220,20.392800559263100,19.114067364845700,3.0752563785490700,19.114067364845700,14.284232535631800,19.12255873195580,13.678399097430000,19.12255873195580,8.326365436840970
4.2547646004340000,8.4906495717199,4.254174922162470,23.121080384545000,4.254174922162470,10.548850370519800,4.254174922162470,20.899481506564600,19.360317011038800,3.379859461721200,19.368808378148900,14.487911016506800,19.360317011038800,14.134417666489800,19.368808378148900,8.47949586924171
4.4955498946441500,8.726024657384530,4.500424568355500,23.8801014200313,4.508915935465610,10.904001502166100,4.500424568355500,21.658502542050900,19.615058024341900,3.4825561754152400,19.615058024341900,14.59055056531710,19.615058024341900,14.186623496593400,19.615058024341900,8.53164453446152
4.751077145642670,8.93227972630195,4.746674214548540,24.538140688336700,4.746674214548540,11.20854742045450,4.738182847438440,22.165011994701100,19.861307670535000,3.68617749140644,19.869799037645100,14.895210813373000,19.869799037645100,14.592265511830200,19.869799037645100,8.634341248155570
4.996776425448940,9.02159158681117,5.001415227851680,25.297218888706700,5.001415227851680,11.31124413414850,4.992923860741580,23.025071962252100,20.116048683838100,3.788874205100480,20.116048683838100,15.199813896545100,20.116048683838100,14.997850362183200,20.116048683838100,8.736980796965850
5.242475705255210,9.373876799354040,5.256156241154830,25.85433355471490,5.256156241154830,11.464431731433000,5.24766487404472,23.683168395441300,20.36229833003110,3.8410228703203000,20.353806962921000,15.453868931243000,20.36229833003110,15.100489910993500,20.370789697141200,9.041641045021750
5.488174985061490,9.843039057245210,5.502405887347860,26.461881939429800,5.493914520237760,11.819468533311900,5.502405887347860,24.39175571222090,20.617039343334300,3.89322870042389,20.617039343334300,15.708095460592200,20.617039343334300,15.354659275458900,20.617039343334300,9.093789710241560
5.748616221656130,9.961669423681380,5.7486555335409,26.816975906192400,5.7486555335409,12.275601432139100,5.7486555335409,24.898322329754800,20.863288989527300,3.894886482053240,20.863288989527300,15.760244125812000,20.863288989527300,15.608771475040600,20.863288989527300,9.14593837546137
6.004143472654650,10.138705231261700,6.003396546844040,27.424581455791100,6.003396546844040,12.98418874891870,6.003396546844040,26.465254667572300,21.109538635720300,3.9975260308635200,21.109538635720300,16.165828976165100,21.109538635720300,15.761901907441300,21.109538635720300,9.19808704068118
6.244928766864800,10.403299578263400,6.249646193037080,28.133111607686900,6.249646193037080,13.59173713363370,6.249646193037080,27.173784819468100,21.372771016133600,4.049789025850860,21.372771016133600,16.420055505514300,21.372771016133600,15.96563755320010,21.36427964902350,9.250292870784770
6.4955420322672000,10.697179349662100,6.48740447212001,28.48814840956580,6.495895839230110,13.79535844962490,6.495895839230110,27.5793696698212,21.61902066232660,4.051446807480210,21.61902066232660,16.926622123048200,21.61902066232660,16.270240636372200,21.61902066232660,9.252007817297890
6.751069283265720,10.874215157242500,6.7506368525332600,28.94433847327680,6.7506368525332600,14.049527814090300,6.7506368525332600,28.338447870191300,21.865270308519700,4.103595472700040,21.865270308519700,17.079752555449000,21.865270308519700,16.42337106877300,21.856778941409600,9.657535502767170
7.00659653426424,10.875935396800400,6.996886498726290,29.198450672858500,6.996886498726290,14.707567082395600,6.996886498726290,28.79452360413480,22.111519954712700,4.50918032305308,22.111519954712700,17.33386475503060,22.12001132182280,16.62704954964790,22.12001132182280,9.861271148525920
7.242467842878260,10.994400355586800,7.243136144919330,29.805999057573400,7.251627512029440,15.163699981222900,7.243136144919330,29.856489941163800,22.37475233512600,4.662425085221370,22.37475233512600,17.63858216797030,22.37475233512600,16.780237146932400,22.37475233512600,9.862986095039040
7.497995093876780,11.083778379155900,7.497877158222470,30.161150189219700,7.497877158222470,15.215848646442800,7.506368525332580,30.464152655646300,22.612510614208900,4.765007469147870,22.612510614208900,18.094600737030100,22.62100198131900,17.69073083319010,22.612510614208900,10.016059362556
7.743694373683050,11.173090239665100,7.752618171525610,30.61728308804700,7.752618171525610,15.570999778089100,7.752618171525610,30.92022838958980,22.858760260401900,5.170592319500920,22.867251627512000,18.348770101495500,22.867251627512000,18.1972974507241,22.867251627512000,10.270228727021400
7.989393653489330,11.203963577500200,7.9988678177186500,30.871395287628700,7.9988678177186500,15.62314844330890,7.9988678177186500,31.275322356352400,23.12199264081520,5.222855314488280,23.130484007925300,18.80496016520650,23.12199264081520,18.703921233141800,23.11350127370510,10.423359159422200
8.24983489008397,11.205716898588100,8.253608831021790,31.075073768503700,8.245117463911690,15.927751526481100,8.245117463911690,31.529434555934100,23.368242287008200,5.275003979708090,23.3597509198981,19.058958035020700,23.368242287008200,18.90754254913310,23.368242287008200,10.475564989525800
8.500448155486370,11.236623317953100,8.49985847721483,31.379676851675800,8.49985847721483,16.4343753088988,8.49985847721483,32.33900363989460,23.61449193320120,5.377643528518360,23.61449193320120,19.41410916666700,23.61449193320120,18.959691214352900,23.606000566091100,10.57814737345230
8.751061420888760,11.23831047598100,8.746108123407870,31.987225236390700,8.746108123407870,16.99143281002320,8.746108123407870,32.84557025742860,23.877724313614500,5.58137917427711,23.877724313614500,20.07226276473990,23.877724313614500,19.36539039447350,23.869232946504400,10.680901252030100
8.991846715098910,11.298369993623200,8.992357769600900,32.39281008674380,8.992357769600900,17.24554500960490,9.00084913671101,33.04924873830350,24.11548259269740,5.835434208975000,24.11548259269740,20.32631779943780,24.11548259269740,19.77091807994270,24.123973959807500,10.884579732905100
9.252287951693560,11.329342576048200,9.25559015001415,32.84900015045480,9.25559015001415,17.550262422544600,9.247098782904050,33.505324472247100,24.37022360600060,5.938130922669050,24.37022360600060,20.5299962803128,24.361732238890500,20.17650293029580,24.361732238890500,10.987162116831600
9.502901217095950,11.331029734076100,9.501839796207190,33.2040941172174,9.493348429097080,17.804317457242500,9.493348429097080,33.910909322600100,24.6164732521936,5.990279587888860,24.6164732521936,20.784108479894500,24.6164732521936,20.22870876039940,24.624964619303700,10.988934228228500
9.748600496902220,11.566437901270700,9.748089442400220,33.25624278243720,9.748089442400220,17.856523287346100,9.73959807529012,34.11453063859130,24.871214265496700,5.991994534401980,24.871214265496700,20.836314309998100,24.871214265496700,20.28091459050300,24.862722898386600,11.041025728564500
9.99921376230462,11.597344320635700,9.994339088593260,33.30839144765700,10.002830455703400,17.959220001040100,9.994339088593260,34.31820911946630,25.108972544579700,5.9935951511475700,25.11746391168980,21.140917393170200,25.11746391168980,20.333063255722800,25.125955278799900,11.09328872355190
